0,-0.0379221774638,100.0
0,-3.13899874687,96.875
0,-18.399187088,100.0
0,-38.1315116882,93.75
0,-70.6765594482,93.75
0,-113.419662476,96.875
0,-212.143981934,96.875
0,-180.546905518,100.0
0,-395.057373047,84.375
0,-478.256378174,90.625
0,-791.854431152,84.375
0,-1048.18615723,87.5
0,-1230.8359375,90.625
0,-1375.43579102,93.75
0,-1704.44250488,93.75
0,-2950.10766602,87.5
0,-3127.88037109,87.5
0,-4336.23974609,90.625
0,-5325.87353516,90.625
0,-4788.00390625,96.875
0,-6199.63427734,93.75
0,-10051.8603516,93.75
0,-11746.4111328,96.875
0,-13748.2119141,100.0
0,-22864.8457031,93.75
0,-25446.4414062,96.875
0,-32649.0175781,100.0
0,-46752.359375,93.75
0,-70875.40625,87.5
0,-80631.109375,96.875
0,-109899.070312,96.875
0,-138656.921875,93.75
0,-213966.578125,96.875
0,-274304.75,100.0
0,-384249.34375,93.75
0,-501608.8125,93.75
0,-672593.375,100.0
0,-890511.375,93.75
0,-1383892.5,87.5
0,-1815134.0,93.75
0,-2306123.25,90.625
0,-3940046.0,84.375
0,-4406802.5,93.75
0,-5037128.0,100.0
